marker_id,latitude,longitude,fish,source,source_url,source_id,date,sector,confidence_class,reports_count,published_rows,comment,depth,method,catch,nearest_landmark,landmark_distance_km,distance_from_novaya_ladoga_km,context_reports_count
P027,59.987311,31.438751,Окунь,FisherMap,https://ru.fishermap.org/location/6146/,6146,2014-02-05,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,7.795,49.215,
P028,59.910907,31.480048,Окунь,FisherMap,https://ru.fishermap.org/location/6148/,6148,2014-01-12,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,13.803,50.065,
P029,60.088915,32.304618,Судак,FisherMap,https://ru.fishermap.org/location/6150/,6150,2014-07-02,Нижний Волхов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,2.207,1.748,
P030,60.188431,32.222266,Щука,FisherMap,https://ru.fishermap.org/location/6158/,6158,2019-09-07,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Щука (FisherMap).,,,,Креницы / Волховская губа,3.788,10.223,
P031,60.302495,32.604719,Судак,FisherMap,https://ru.fishermap.org/location/6160/,6160,2019-06-23,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,1.853,27.989,
P032,60.120446,31.586564,Щука,FisherMap,https://ru.fishermap.org/location/6162/,6162,2019-05-23,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.299,39.241,
P033,60.019048,31.441577,Рипус (Ряпушка),FisherMap,https://ru.fishermap.org/location/6165/,6165,2019-02-24,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.145,48.231,
P034,60.110724,31.528745,Окунь; Щука,FisherMap,https://ru.fishermap.org/location/6168/,6168,2019-02-26,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,4.618,42.414,
P035,59.981948,31.513851,Окунь,FisherMap,https://ru.fishermap.org/location/6170/,6170,2018-12-24,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,5.709,45.383,
P036,59.974345,31.524014,Окунь,FisherMap,https://ru.fishermap.org/location/6171/,6171,2018-12-20,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.355,45.112,
P037,59.936183,31.442239,Окунь,FisherMap,https://ru.fishermap.org/location/6172/,6172,2018-12-16,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,12.032,50.86,
P038,60.131684,32.231764,Щука,FisherMap,https://ru.fishermap.org/location/6173/,6173,2018-12-13,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,3.515,4.643,
P039,60.120491,32.319319,Щука,FisherMap,https://ru.fishermap.org/location/6174/,6174,2018-11-17,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,0.28,2.335,
P040,60.254074,31.691875,Судак; Щука,FisherMap,https://ru.fishermap.org/location/6175/; https://ru.fishermap.org/location/6176/; https://ru.fishermap.org/location/16590/,6175; 6176; 16590,2018-08-16—2018-08-27,Лигово,B,3,3,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Лигово,5.016,37.256,
P041,60.025646,31.533428,Окунь,FisherMap,https://ru.fishermap.org/location/6179/,6179,2018-05-15,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,1.04,43.085,
P042,60.021826,31.486249,Окунь,FisherMap,https://ru.fishermap.org/location/6180/,6180,2018-05-12,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,3.656,45.738,
P043,60.342155,32.616426,Окунь,FisherMap,https://ru.fishermap.org/location/6183/,6183,2018-02-16,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,6.309,31.938,
P044,59.997778,31.43971,Окунь,FisherMap,https://ru.fishermap.org/location/6184/,6184,2018-01-29,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,7.1,48.863,
P045,59.986953,31.531942,Окунь,FisherMap,https://ru.fishermap.org/location/6185/,6185,2018-01-27,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,4.891,44.256,
P046,60.175403,32.212548,Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/6191/,6191,2017-03-19,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,3.134,9.158,
P047,60.406806,32.090174,Окунь; Судак,FisherMap,https://ru.fishermap.org/location/6192/,6192,2014-07-15,о. Сухо,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,о. Сухо,0.123,35.529,
P048,60.114413,32.24307,Карась,FisherMap,https://ru.fishermap.org/location/6330/,6330,2019-08-12,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Новая Ладога / устье Волхова,4.281,3.062,
P049,60.118082,32.324377,Окунь; Судак,FisherMap,https://ru.fishermap.org/location/7027/,7027,2018-09-08,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,0.243,2.322,
P050,60.099401,32.310595,Щука,FisherMap,https://ru.fishermap.org/location/7114/,7114,2018-08-18,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,2.133,1.038,
P051,59.975496,31.524648,Окунь,FisherMap,https://ru.fishermap.org/location/9093/,9093,2019-02-20,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.222,45.037,
P052,60.192721,31.636649,Плотва,FisherMap,https://ru.fishermap.org/location/9097/,9097,2019-03-05,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,8.22,37.704,
P053,60.135523,31.571449,Щука,FisherMap,https://ru.fishermap.org/location/9101/,9101,2019-03-19,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,2.746,40.181,
P054,60.132292,31.589045,Плотва,FisherMap,https://ru.fishermap.org/location/9118/,9118,2019-04-22,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.793,39.182,
P055,60.080443,32.324443,Густера; Елец; Лещ,FisherMap,https://ru.fishermap.org/location/9145/,9145,2019-05-26,Нижний Волхов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,0.769,3.09,
P056,60.288713,32.545015,Судак,FisherMap,https://ru.fishermap.org/location/9173/,9173,2019-06-22,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,3.117,24.813,
P057,60.160774,32.241598,Щука,FisherMap,https://ru.fishermap.org/location/9189/,9189,2019-07-07,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,1.022,6.977,
P058,60.023129,31.549124,Щука,FisherMap,https://ru.fishermap.org/location/9206/,9206,2019-07-16,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. бухта Петрокрепость.,,,,Кобона / южный берег,0.766,42.292,
P059,60.095359,32.31509,Лещ; Язь,FisherMap,https://ru.fishermap.org/location/9212/; https://ru.fishermap.org/location/9301/,9212; 9301,2019-07-20—2019-10-14,Нижний Волхов,B,2,2,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,2.472,1.494,
P060,60.129187,31.607879,Окунь; Щука,FisherMap,https://ru.fishermap.org/location/9231/,9231,2019-07-27,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.028,38.116,
P061,60.146076,31.619132,Судак,FisherMap,https://ru.fishermap.org/location/9268/,9268,2019-08-27,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Шлиссельбург / бухта Петрокрепость,2.943,37.674,
P062,60.211948,32.208028,Щука,FisherMap,https://ru.fishermap.org/location/9275/,9275,2019-09-08,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,6.452,12.941,
P063,60.260922,32.641088,Линь; Окунь; Щука,FisherMap,https://ru.fishermap.org/location/9280/,9280,2019-09-14,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Вороново,3.541,25.96,
P064,60.135009,31.609383,Окунь,FisherMap,https://ru.fishermap.org/location/10629/,10629,2019-10-01,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.669,38.084,
P065,60.113432,32.287226,Окунь,FisherMap,https://ru.fishermap.org/location/10705/,10705,2019-09-29,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Новая Ладога / устье Волхова,1.885,1.144,
P066,60.121404,31.563588,Щука,FisherMap,https://ru.fishermap.org/location/11075/,11075,2019-07-05,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,2.576,40.517,
P067,60.104283,32.272784,Карась,FisherMap,https://ru.fishermap.org/location/11480/,11480,2019-08-12,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Новая Ладога / устье Волхова,3.028,1.176,
P068,60.102013,32.326021,Судак,FisherMap,https://ru.fishermap.org/location/11621/,11621,2019-08-17,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,1.809,1.786,
P069,60.110836,32.325533,Щука,FisherMap,https://ru.fishermap.org/location/11684/,11684,2019-10-23,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,0.854,1.92,
P070,60.191962,32.223892,Щука,FisherMap,https://ru.fishermap.org/location/13142/,13142,2019-09-09,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,4.077,10.552,
P071,60.126973,31.603889,Окунь,FisherMap,https://ru.fishermap.org/location/13175/,13175,2019-11-26,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,0.846,38.321,
P072,60.453156,32.811084,Плотва,FisherMap,https://ru.fishermap.org/location/13400/,13400,2019-05-15,Свирица / Загубская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Загубская губа без речной привязки.,,,,Свирица / Загубская губа,0.602,48.192,
P073,60.267281,32.048983,Щука,FisherMap,https://ru.fishermap.org/location/13409/,13409,2019-06-03,о. Птинов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,о. Птинов,2.244,22.677,
P074,60.207024,32.204395,Щука,FisherMap,https://ru.fishermap.org/location/13412/,13412,2019-06-08,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,6.066,12.512,
P075,60.115556,32.338514,Щука,FisherMap,https://ru.fishermap.org/location/13423/,13423,2019-07-24,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,1.061,2.797,
P076,60.068341,32.338351,Лещ,FisherMap,https://ru.fishermap.org/location/13441/,13441,2019-09-17,Нижний Волхов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,0.798,4.639,
P077,60.120745,32.318611,Карп; Лещ; Щука,FisherMap,https://ru.fishermap.org/location/14097/,14097,2019-09-02,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,0.315,2.335,
P078,60.15183,32.258078,Окунь; Щука,FisherMap,https://ru.fishermap.org/location/14098/,14098,2019-09-05,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,0.915,5.708,
P079,60.100498,32.313622,Лещ,FisherMap,https://ru.fishermap.org/location/14369/,14369,2016-05-22,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,1.978,1.146,
P080,60.10428,31.535041,Плотва,FisherMap,https://ru.fishermap.org/location/14383/,14383,2016-12-24,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,4.506,42.062,
P081,60.165785,32.248314,Щука,FisherMap,https://ru.fishermap.org/location/15368/,15368,2019-06-17,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,0.912,7.351,
P082,59.946048,31.578857,Лещ; Щука,FisherMap,https://ru.fishermap.org/location/15377/; https://ru.fishermap.org/location/15405/,15377; 15405,2019-06-28—2019-07-22,Кобона / южный берег,B,2,2,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Кобона / южный берег,9.472,43.425,
P083,59.982637,31.55379,Судак; Щука,FisherMap,https://ru.fishermap.org/location/15385/,15385,2019-07-07,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,5.271,43.247,
P084,60.20561,32.41823,Судак,FisherMap,https://ru.fishermap.org/location/15386/,15386,2019-07-08,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Судак (FisherMap).,,,,Креницы / Волховская губа,10.112,13.254,
P085,60.213908,32.2246,Судак; Щука,FisherMap,https://ru.fishermap.org/location/15389/,15389,2019-07-12,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,6.306,12.841,
P086,60.150206,31.622075,Щука,FisherMap,https://ru.fishermap.org/location/15393/,15393,2019-07-14,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Шлиссельбург / бухта Петрокрепость,3.425,37.57,
P087,60.213078,32.448773,Судак; Щука,FisherMap,https://ru.fishermap.org/location/15397/,15397,2019-07-15,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,11.68,14.874,
P088,60.083858,32.30831,Лещ; Сом,FisherMap,https://ru.fishermap.org/location/15407/,15407,2019-07-28,Нижний Волхов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,1.687,2.346,
P089,60.238105,31.97625,Окунь,FisherMap,https://ru.fishermap.org/location/15415/,15415,2019-08-08,Дубно,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Дубно,0.552,23.068,
P090,60.097415,32.310195,Судак; Щука,FisherMap,https://ru.fishermap.org/location/15421/,15421,2019-08-12,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,2.353,1.139,
P091,60.153482,32.484413,Судак; Щука,FisherMap,https://ru.fishermap.org/location/15443/,15443,2019-10-01,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Новая Ладога / устье Волхова,9.922,11.91,
P092,59.981745,31.4043,Окунь; Щука,FisherMap,https://ru.fishermap.org/location/15447/,15447,2019-10-18,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,9.715,51.227,
P093,60.232853,32.055904,Голавль; Окунь; Щука,FisherMap,https://ru.fishermap.org/location/15453/,15453,2019-11-26,о. Птинов,B,1,1,"Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Щука, голавль, окунь (FisherMap).",,,,о. Птинов,2.642,19.484,
P094,59.985343,31.526859,Щука,FisherMap,https://ru.fishermap.org/location/16225/,16225,2017-09-27,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,5.13,44.579,
P095,60.127233,31.595003,Окунь,FisherMap,https://ru.fishermap.org/location/16228/,16228,2017-12-24,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.156,38.814,
P096,59.979758,31.494377,Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/16230/,16230,2018-01-23,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.385,46.49,
P097,60.141119,32.215248,Щука,FisherMap,https://ru.fishermap.org/location/16235/,16235,2018-02-17,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Щука (FisherMap).,,,,Креницы / Волховская губа,3.247,6.027,
P098,60.188581,32.172667,Окунь,FisherMap,https://ru.fishermap.org/location/16240/,16240,2018-03-29,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,5.782,11.582,
P099,60.269817,32.609065,Лещ; Плотва,FisherMap,https://ru.fishermap.org/location/16243/,16243,2018-04-07,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,1.841,25.388,
P100,60.04905,32.344292,Лещ,FisherMap,https://ru.fishermap.org/location/16244/,16244,2018-08-02,Нижний Волхов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,2.953,6.688,
P101,60.028505,31.452973,Окунь,FisherMap,https://ru.fishermap.org/location/16245/,16245,2019-02-16,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,5.392,47.407,
P102,60.015231,31.407798,Плотва,FisherMap,https://ru.fishermap.org/location/16246/,16246,2019-03-26,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,8.07,50.155,
P103,59.97432,31.511137,Окунь,FisherMap,https://ru.fishermap.org/location/16559/,16559,2018-12-16,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.557,45.791,
P104,59.974928,31.517438,Окунь,FisherMap,https://ru.fishermap.org/location/16562/,16562,2018-12-19,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.386,45.438,
P105,59.978596,31.52809,Окунь,FisherMap,https://ru.fishermap.org/location/16564/,16564,2018-12-26,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,5.844,44.746,
P106,60.184477,32.214768,Окунь,FisherMap,https://ru.fishermap.org/location/16567/,16567,2019-01-07,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,3.697,9.994,
